#,Name,Price,Description,Image
1,"Honda Civic 7 поколение Хетчбэк 5-дв. , 2001",5223$ ,"2001  Хэтчбек,
                                        белый,
                                        1.5 л.,
                                        правый руль,
                                        бензин,
                                        автомат,
                                        передний,",https://i.cars.kg/preview/r/PCxAMjaqf0yz9BEiXd2Pnw/1080x-/20230105/10f06ce3a9c1659b75f32a773d1f0e6d.jpg
2,"Honda Fit 1 поколение Хетчбэк , 2006",8$ ,"2006 115000 км Хэтчбек,
                                        белый,
                                        1.5 л.,
                                        правый руль,
                                        бензин,
                                        автомат,
                                        передний,",https://i.cars.kg/preview/r/w0m8otlsPgzBgrHVcLe4AQ/1080x-/20230130/95474aee5aceaa0790085426d9c22917.jpg
3,"Daewoo Damas , 1997",2$ ,"1997  Минивэн / Бус,
                                        фиолетовый,
                                                    левый руль,
                                        бензин,
                                        механика,
                                        передний,",https://i.cars.kg/preview/r/Q5b2GZoKFQAZBYcVLYZIgw/1080x-/20230130/cc8cb1c45f4e8567204179f044d898ab.jpeg
4,"Nissan X-Trail T30 Кроссовер , 2001",6$ ,"2001 256000 км Кроссовер,
                                        серебряный,
                                        2 л.,
                                        правый руль,
                                        бензин,
                                        автомат,
                                        полный подключаемый,",https://i.cars.kg/preview/r/R6c55xSh3vUo-pzkfRgLPw/1080x-/20230105/1030e44668440758578a252d8fcf7ec0.jpg
5,"Honda CR-V 4 поколение Кроссовер , 2014",17$ ,"2014 227000 км Кроссовер,
                                        черный,
                                        2.4 л.,
                                        левый руль,
                                        бензин,
                                        автомат,
                                        передний,",https://i.cars.kg/preview/r/EB0Bn3di3QFUc7DXmeRIFg/1080x-/20230130/afce9215ba44a9c28abdba810fa8b531.jpg
6,"Mercedes-Benz Sprinter W906 Фургон , 2006",9800$ ,"2006 234000 км Универсал,
                                        желтый,
                                        2.1 л.,
                                        левый руль,
                                        дизель,
                                        механика,
                                        задний,",https://i.cars.kg/preview/r/U3LP_MItz_QxiPZJDXRDfA/1080x-/20230130/d7b5593a6267b375c47996dc3a4745ed.jpg
7,"Mercedes-Benz E-Класс W210/S210 Седан 4-дв. , 1996",8400$ ,"1996  Седан,
                                        серебряный,
                                        3.2 л.,
                                        левый руль,
                                        бензин,
                                        автомат,
                                        задний,",https://i.cars.kg/preview/r/6cHOxTmE7wFwKbx-GQgelA/1080x-/20230129/38b95eb87e8d5d064f9be23f8df788c3.jpg
8,"Mercedes-Benz E-Класс W124 [2-й рестайлинг] Седан , 1995",8900$ ,"1995 178000 км Седан,
                                        черный,
                                        2.8 л.,
                                        левый руль,
                                        бензин,
                                        автомат,
                                        задний,",https://i.cars.kg/preview/r/LgWVHwc4TsS5L8p23_HiNQ/1080x-/20230119/c52ab1ecae885f3f8ecf2089763f0587.png
9,"Honda Accord 8 поколение , 2008",11500$ ,"2008 250000 км Седан,
                                        серый,
                                        3.5 л.,
                                        левый руль,
                                        бензин,
                                        автомат,
                                        передний,",https://i.cars.kg/preview/r/nQ2QocUnI1HLWrq3mFBgww/1080x-/20230131/9fa3994fbd55aa1f932935f9402097e8.jpg
10,"Daewoo Lanos T150 [рестайлинг] Седан , 2002",3499$ ,"2002 230000 км Седан,
                                        белый,
                                        1.5 л.,
                                        левый руль,
                                        бензин,
                                        автомат,
                                        передний,",https://i.cars.kg/preview/r/yd4aFZrBF0OSFox3G8GMWA/1080x-/20230131/8f954c66f90352b770f5bc764215b503.jpg
11,"Toyota Camry XV30 Седан , 2004",11000$ ,"2004 195000 км Седан,
                                        бежевый,
                                        2.4 л.,
                                        левый руль,
                                        бензин,
                                        автомат,
                                        передний,",https://i.cars.kg/preview/r/p0KSYkr5rGjYPZjzgcdLCQ/1080x-/20230131/a85410e61492cf2b57c87ba49304cd97.jpg
12,"Daewoo Damas 1 поколение Минивэн , 1997",2205$ ,"1997 600000 км Минивэн / Бус,",https://i.cars.kg/preview/r/me4Uuujluq8sdTFh8PWPVA/1080x-/20230131/1145fd8b8ca059e1242ddaefdb40daaf.jpg
13,"Mercedes-Benz E-Класс W211/S211 Седан , 2006",7312$ ,"2006 405000 км Седан,
                                        синий,
                                        2.1 л.,
                                        левый руль,
                                        дизель,
                                        автомат,
                                        задний,",https://i.cars.kg/preview/r/3fGTAyNvoJM-CGrbSSbh5A/1080x-/20230131/a644b786987562bf6a38922ed738cc71.jpg
14,"Mercedes-Benz E-Класс W211/S211 [рестайлинг] Седан 4-дв. , 2007",123000$ ,"2007 166000 км Седан,
                                        черный,
                                        3.5 л.,
                                        левый руль,
                                        бензин,
                                        автомат,
                                        задний,",https://i.cars.kg/preview/r/KaAEjtmJf-_upFbUcXCygg/1080x-/20230131/2c1afe1845b55f64ab38650d060e6027.jpg
15,"Toyota Avensis Verso 1 поколение [рестайлинг] , 2003",8299$ ,"2003 296433 км Минивэн / Бус,
                                        синий,
                                        2.0 л.,
                                        левый руль,
                                        дизель,
                                                    передний,",No picture
16,"ГАЗ 21 Волга , 1958",1500$ ,"1958 101000 км Седан,
                                        желтый,
                                        2.4 л.,
                                        левый руль,
                                        бензин,
                                        механика,
                                        передний,",https://i.cars.kg/preview/r/9zCU8HupCiZy2tmd40rO0Q/1080x-/20230130/8808d12ba185a5698e57d62220258428.jpg
17,"BYD Yuan , 2020",17900$ ,"2020 34000 км Кроссовер,
                                        белый,
                                        1 л.,
                                        левый руль,
                                        электро,
                                        автомат,
                                        передний,",https://i.cars.kg/preview/r/ywoRF-BF3lbI_Nf4ZobdPg/1080x-/20230130/d1d6ee9f48db95051caf0abdd576c533.jpg
18,"Mercedes-Benz S-Класс W221 Седан , 2008",20000$ ,"2008 200000 км Седан,
                                        черный,
                                        6 л.,
                                        левый руль,
                                        бензин,
                                        автомат,
                                        задний,",https://i.cars.kg/preview/r/tuV3nCVwQW6BAB7F_aG-cQ/1080x-/20230130/492c7b9f17ca0855ff5da7a463300c9e.jpg
19,"Honda Accord 7 поколение Седан , 2003",8500$ ,"2003 300 км Седан,
                                        серый,
                                        2.4 л.,
                                        левый руль,
                                        бензин,
                                        механика,
                                        передний,",https://i.cars.kg/preview/r/ZDXFmPPgK9HoWmLzosJx_A/1080x-/20230130/0dfac31c47322080bb8e94de6829cc1b.jpg
20,"Toyota Sequoia 1 поколение [рестайлинг] Внедорожник , 2008",26900$ ,"2008 1 км Внедорожник / Пикап,
                                        белый,
                                        5.7 л.,
                                        левый руль,
                                        бензин,
                                        автомат,
                                        постоянный полный,",https://i.cars.kg/preview/r/F_6QeOf7rEHPTaqG48gSkA/1080x-/20230130/eb4a754c7b2b915c8cbe07b82d48d93a.jpg
21,"Toyota Hilux Surf 3 поколение Внедорожник , 1996",10000$ ,"1996 1 км Внедорожник / Пикап,
                                        серебряный,
                                        3 л.,
                                        правый руль,
                                        дизель,
                                        механика,
                                        постоянный полный,",https://i.cars.kg/preview/r/viN1ad7p4dbBlFDFJbvHFg/1080x-/20230130/4de6d88b45e869b552444ec5c53d07b2.jpg
